home_team,away_team,home_goals,away_goals,result,season
Bayern Munich,CSKA Moscow,3,0,H,2013
Benfica,Anderlecht,2,0,H,2013
Manchester Utd,Leverkusen,4,2,H,2013
Viktoria PlzeÅ,Manchester City,0,3,A,2013
Olympiacos,Paris S-G,1,4,A,2013
FC Copenhagen,Juventus,1,1,D,2013
Real Sociedad,Shakhtar,0,2,A,2013
Marseille,Arsenal,1,2,A,2013
Schalke 04,Steaua,3,0,H,2013
Barcelona,Ajax,4,0,H,2013
AtlÃ©tico Madrid,Zenit,3,1,H,2013
Chelsea,Basel,1,2,A,2013
Milan,Celtic,2,0,H,2013
Napoli,Dortmund,2,1,H,2013
Barcelona,Ajax,4,0,H,2013
Milan,Celtic,2,0,H,2013
Chelsea,Basel,1,2,A,2013
AtlÃ©tico Madrid,Zenit,3,1,H,2013
Schalke 04,Steaua,3,0,H,2013
Marseille,Arsenal,1,2,A,2013
Austria Wien,Porto,0,1,A,2013
Napoli,Dortmund,2,1,H,2013
Austria Wien,Porto,0,1,A,2013
Steaua,Chelsea,0,4,A,2013
Porto,AtlÃ©tico Madrid,1,2,A,2013
Celtic,Barcelona,0,1,A,2013
Ajax,Milan,1,1,D,2013
Basel,Schalke 04,0,1,A,2013
Zenit,Austria Wien,0,0,D,2013
Steaua,Chelsea,0,4,A,2013
Dortmund,Marseille,3,0,H,2013
Zenit,Austria Wien,0,0,D,2013
Arsenal,Napoli,2,0,H,2013
Celtic,Barcelona,0,1,A,2013
Basel,Schalke 04,0,1,A,2013
Porto,AtlÃ©tico Madrid,1,2,A,2013
Dortmund,Marseille,3,0,H,2013
Arsenal,Napoli,2,0,H,2013
Ajax,Milan,1,1,D,2013
CSKA Moscow,Viktoria PlzeÅ,3,2,H,2013
Paris S-G,Benfica,3,0,H,2013
Manchester City,Bayern Munich,1,3,A,2013
Paris S-G,Benfica,3,0,H,2013
Juventus,Galatasaray,2,2,D,2013
Leverkusen,Real Sociedad,2,1,H,2013
Shakhtar,Manchester Utd,1,1,D,2013
Anderlecht,Olympiacos,0,3,A,2013
Manchester City,Bayern Munich,1,3,A,2013
Real Madrid,FC Copenhagen,4,0,H,2013
Real Madrid,FC Copenhagen,4,0,H,2013
Anderlecht,Olympiacos,0,3,A,2013
Shakhtar,Manchester Utd,1,1,D,2013
Leverkusen,Real Sociedad,2,1,H,2013
CSKA Moscow,Viktoria PlzeÅ,3,2,H,2013
Juventus,Galatasaray,2,2,D,2013
Steaua,Basel,1,1,D,2013
Milan,Barcelona,1,1,D,2013
Marseille,Napoli,1,2,A,2013
Arsenal,Dortmund,1,2,A,2013
Celtic,Ajax,2,1,H,2013
Arsenal,Dortmund,1,2,A,2013
Porto,Zenit,0,1,A,2013
Schalke 04,Chelsea,0,3,A,2013
Milan,Barcelona,1,1,D,2013
Steaua,Basel,1,1,D,2013
Marseille,Napoli,1,2,A,2013
Austria Wien,AtlÃ©tico Madrid,0,3,A,2013
Austria Wien,AtlÃ©tico Madrid,0,3,A,2013
Schalke 04,Chelsea,0,3,A,2013
Porto,Zenit,0,1,A,2013
Celtic,Ajax,2,1,H,2013
Leverkusen,Shakhtar,4,0,H,2013
Manchester Utd,Real Sociedad,1,0,H,2013
Galatasaray,FC Copenhagen,3,1,H,2013
CSKA Moscow,Manchester City,1,2,A,2013
Real Madrid,Juventus,2,1,H,2013
Bayern Munich,Viktoria PlzeÅ,5,0,H,2013
Anderlecht,Paris S-G,0,5,A,2013
Manchester Utd,Real Sociedad,1,0,H,2013
Benfica,Olympiacos,1,1,D,2013
Anderlecht,Paris S-G,0,5,A,2013
Leverkusen,Shakhtar,4,0,H,2013
Benfica,Olympiacos,1,1,D,2013
Galatasaray,FC Copenhagen,3,1,H,2013
CSKA Moscow,Manchester City,1,2,A,2013
Real Madrid,Juventus,2,1,H,2013
Bayern Munich,Viktoria PlzeÅ,5,0,H,2013
FC Copenhagen,Galatasaray,1,0,H,2013
Viktoria PlzeÅ,Bayern Munich,0,1,A,2013
Real Sociedad,Manchester Utd,0,0,D,2013
Olympiacos,Benfica,1,0,H,2013
Paris S-G,Anderlecht,1,1,D,2013
Shakhtar,Leverkusen,0,0,D,2013
Real Sociedad,Manchester Utd,0,0,D,2013
Paris S-G,Anderlecht,1,1,D,2013
Shakhtar,Leverkusen,0,0,D,2013
Juventus,Real Madrid,2,2,D,2013
Olympiacos,Benfica,1,0,H,2013
FC Copenhagen,Galatasaray,1,0,H,2013
Viktoria PlzeÅ,Bayern Munich,0,1,A,2013
Juventus,Real Madrid,2,2,D,2013
Dortmund,Arsenal,0,1,A,2013
Chelsea,Schalke 04,3,0,H,2013
Ajax,Celtic,1,0,H,2013
AtlÃ©tico Madrid,Austria Wien,4,0,H,2013
Barcelona,Milan,3,1,H,2013
Basel,Steaua,1,1,D,2013
Chelsea,Schalke 04,3,0,H,2013
Dortmund,Arsenal,0,1,A,2013
Zenit,Porto,1,1,D,2013
Napoli,Marseille,3,2,H,2013
Ajax,Celtic,1,0,H,2013
AtlÃ©tico Madrid,Austria Wien,4,0,H,2013
Barcelona,Milan,3,1,H,2013
Napoli,Marseille,3,2,H,2013
Basel,Steaua,1,1,D,2013
Zenit,Porto,1,1,D,2013
Arsenal,Marseille,2,0,H,2013
Ajax,Barcelona,2,1,H,2013
Steaua,Schalke 04,0,0,D,2013
Arsenal,Marseille,2,0,H,2013
Porto,Austria Wien,1,1,D,2013
Zenit,AtlÃ©tico Madrid,1,1,D,2013
Basel,Chelsea,1,0,H,2013
Celtic,Milan,0,3,A,2013
Dortmund,Napoli,3,1,H,2013
Ajax,Barcelona,2,1,H,2013
Steaua,Schalke 04,0,0,D,2013
Dortmund,Napoli,3,1,H,2013
Celtic,Milan,0,3,A,2013
Basel,Chelsea,1,0,H,2013
Zenit,AtlÃ©tico Madrid,1,1,D,2013
Porto,Austria Wien,1,1,D,2013
Real Madrid,Galatasaray,4,1,H,2013
Manchester City,Viktoria PlzeÅ,4,2,H,2013
Shakhtar,Real Sociedad,4,0,H,2013
Anderlecht,Benfica,2,3,A,2013
CSKA Moscow,Bayern Munich,1,3,A,2013
Juventus,FC Copenhagen,3,1,H,2013
Real Madrid,Galatasaray,4,1,H,2013
Manchester City,Viktoria PlzeÅ,4,2,H,2013
Shakhtar,Real Sociedad,4,0,H,2013
Anderlecht,Benfica,2,3,A,2013
CSKA Moscow,Bayern Munich,1,3,A,2013
Paris S-G,Olympiacos,2,1,H,2013
Paris S-G,Olympiacos,2,1,H,2013
Juventus,FC Copenhagen,3,1,H,2013
Olympiacos,Anderlecht,3,1,H,2013
Benfica,Paris S-G,2,1,H,2013
Manchester Utd,Shakhtar,1,0,H,2013
Viktoria PlzeÅ,CSKA Moscow,2,1,H,2013
FC Copenhagen,Real Madrid,0,2,A,2013
Real Sociedad,Leverkusen,0,1,A,2013
Bayern Munich,Manchester City,2,3,A,2013
Benfica,Paris S-G,2,1,H,2013
Manchester Utd,Shakhtar,1,0,H,2013
Olympiacos,Anderlecht,3,1,H,2013
Viktoria PlzeÅ,CSKA Moscow,2,1,H,2013
FC Copenhagen,Real Madrid,0,2,A,2013
Real Sociedad,Leverkusen,0,1,A,2013
Bayern Munich,Manchester City,2,3,A,2013
Barcelona,Celtic,6,1,H,2013
AtlÃ©tico Madrid,Porto,2,0,H,2013
Marseille,Dortmund,1,2,A,2013
Milan,Ajax,0,0,D,2013
Schalke 04,Basel,2,0,H,2013
Galatasaray,Juventus,1,0,H,2013
Chelsea,Steaua,1,0,H,2013
Austria Wien,Zenit,4,1,H,2013
Napoli,Arsenal,2,0,H,2013
Schalke 04,Basel,2,0,H,2013
Napoli,Arsenal,2,0,H,2013
Chelsea,Steaua,1,0,H,2013
AtlÃ©tico Madrid,Porto,2,0,H,2013
Galatasaray,Juventus,1,0,H,2013
Barcelona,Celtic,6,1,H,2013
Milan,Ajax,0,0,D,2013
Austria Wien,Zenit,4,1,H,2013
Marseille,Dortmund,1,2,A,2013
Manchester City,Barcelona,0,2,A,2013
Manchester City,Barcelona,0,2,A,2013
Arsenal,Bayern Munich,0,2,A,2013
Milan,AtlÃ©tico Madrid,0,1,A,2013
Milan,AtlÃ©tico Madrid,0,1,A,2013
Arsenal,Bayern Munich,0,2,A,2013
Zenit,Dortmund,2,4,A,2013
Olympiacos,Manchester Utd,2,0,H,2013
Olympiacos,Manchester Utd,2,0,H,2013
Zenit,Dortmund,2,4,A,2013
Galatasaray,Chelsea,1,1,D,2013
Schalke 04,Real Madrid,1,6,A,2013
Galatasaray,Chelsea,1,1,D,2013
Schalke 04,Real Madrid,1,6,A,2013
Bayern Munich,Arsenal,1,1,D,2013
AtlÃ©tico Madrid,Milan,4,1,H,2013
Bayern Munich,Arsenal,1,1,D,2013
AtlÃ©tico Madrid,Milan,4,1,H,2013
Paris S-G,Leverkusen,2,1,H,2013
Barcelona,Manchester City,2,1,H,2013
Paris S-G,Leverkusen,2,1,H,2013
Barcelona,Manchester City,2,1,H,2013
Real Madrid,Schalke 04,3,1,H,2013
Chelsea,Galatasaray,2,0,H,2013
Real Madrid,Schalke 04,3,1,H,2013
Chelsea,Galatasaray,2,0,H,2013
Manchester Utd,Olympiacos,3,0,H,2013
Dortmund,Zenit,1,2,A,2013
Dortmund,Zenit,1,2,A,2013
Manchester Utd,Olympiacos,3,0,H,2013
Manchester Utd,Bayern Munich,1,1,D,2013
Barcelona,AtlÃ©tico Madrid,1,1,D,2013
Barcelona,AtlÃ©tico Madrid,1,1,D,2013
Manchester Utd,Bayern Munich,1,1,D,2013
Real Madrid,Dortmund,3,0,H,2013
Paris S-G,Chelsea,3,1,H,2013
Paris S-G,Chelsea,3,1,H,2013
Real Madrid,Dortmund,3,0,H,2013
Dortmund,Real Madrid,2,0,H,2013
Chelsea,Paris S-G,2,0,H,2013
Chelsea,Paris S-G,2,0,H,2013
Dortmund,Real Madrid,2,0,H,2013
Bayern Munich,Manchester Utd,3,1,H,2013
AtlÃ©tico Madrid,Barcelona,1,0,H,2013
AtlÃ©tico Madrid,Barcelona,1,0,H,2013
Bayern Munich,Manchester Utd,3,1,H,2013
AtlÃ©tico Madrid,Chelsea,0,0,D,2013
AtlÃ©tico Madrid,Chelsea,0,0,D,2013
Real Madrid,Bayern Munich,1,0,H,2013
Real Madrid,Bayern Munich,1,0,H,2013
Bayern Munich,Real Madrid,0,4,A,2013
Bayern Munich,Real Madrid,0,4,A,2013
Chelsea,AtlÃ©tico Madrid,1,3,A,2013
Chelsea,AtlÃ©tico Madrid,1,3,A,2013
Real Madrid,AtlÃ©tico Madrid,4,1,H,2013
Real Madrid,AtlÃ©tico Madrid,4,1,H,2013
Juventus,MalmÃ¶,2,0,H,2014
Olympiacos,AtlÃ©tico Madrid,3,2,H,2014
Liverpool,Ludogorets,2,1,H,2014
Real Madrid,Basel,5,1,H,2014
Monaco,Leverkusen,1,0,H,2014
Dortmund,Arsenal,2,0,H,2014
Liverpool,Ludogorets,2,1,H,2014
Benfica,Zenit,0,2,A,2014
Benfica,Zenit,0,2,A,2014
Olympiacos,AtlÃ©tico Madrid,3,2,H,2014
Real Madrid,Basel,5,1,H,2014
Dortmund,Arsenal,2,0,H,2014
Monaco,Leverkusen,1,0,H,2014
Juventus,MalmÃ¶,2,0,H,2014
Galatasaray,Anderlecht,1,1,D,2014
Galatasaray,Anderlecht,1,1,D,2014
Bayern Munich,Manchester City,1,0,H,2014
Chelsea,Schalke 04,1,1,D,2014
Chelsea,Schalke 04,1,1,D,2014
Porto,BATE Borisov,6,0,H,2014
Roma,CSKA Moscow,5,1,H,2014
Porto,BATE Borisov,6,0,H,2014
Ajax,Paris S-G,1,1,D,2014
Barcelona,APOEL FC,1,0,H,2014
Roma,CSKA Moscow,5,1,H,2014
Ajax,Paris S-G,1,1,D,2014
NK Maribor,Sporting CP,1,1,D,2014
Barcelona,APOEL FC,1,0,H,2014
Bayern Munich,Manchester City,1,0,H,2014
Athletic Club,Shakhtar,0,0,D,2014
NK Maribor,Sporting CP,1,1,D,2014
Athletic Club,Shakhtar,0,0,D,2014
BATE Borisov,Athletic Club,2,1,H,2014
Manchester City,Roma,1,1,D,2014
APOEL FC,Ajax,1,1,D,2014
Shakhtar,Porto,2,2,D,2014
Paris S-G,Barcelona,3,2,H,2014
Schalke 04,NK Maribor,1,1,D,2014
BATE Borisov,Athletic Club,2,1,H,2014
CSKA Moscow,Bayern Munich,0,1,A,2014
Shakhtar,Porto,2,2,D,2014
Paris S-G,Barcelona,3,2,H,2014
Schalke 04,NK Maribor,1,1,D,2014
Manchester City,Roma,1,1,D,2014
Sporting CP,Chelsea,0,1,A,2014
Sporting CP,Chelsea,0,1,A,2014
APOEL FC,Ajax,1,1,D,2014
CSKA Moscow,Bayern Munich,0,1,A,2014
Basel,Liverpool,1,0,H,2014
Ludogorets,Real Madrid,1,2,A,2014
AtlÃ©tico Madrid,Juventus,1,0,H,2014
Arsenal,Galatasaray,4,1,H,2014
Zenit,Monaco,0,0,D,2014
Leverkusen,Benfica,3,1,H,2014
MalmÃ¶,Olympiacos,2,0,H,2014
Ludogorets,Real Madrid,1,2,A,2014
Anderlecht,Dortmund,0,3,A,2014
Basel,Liverpool,1,0,H,2014
AtlÃ©tico Madrid,Juventus,1,0,H,2014
MalmÃ¶,Olympiacos,2,0,H,2014
Zenit,Monaco,0,0,D,2014
Arsenal,Galatasaray,4,1,H,2014
Anderlecht,Dortmund,0,3,A,2014
Leverkusen,Benfica,3,1,H,2014
Barcelona,Ajax,3,1,H,2014
Porto,Athletic Club,2,1,H,2014
Chelsea,NK Maribor,6,0,H,2014
BATE Borisov,Shakhtar,0,7,A,2014
APOEL FC,Paris S-G,0,1,A,2014
Schalke 04,Sporting CP,4,3,H,2014
Schalke 04,Sporting CP,4,3,H,2014
Roma,Bayern Munich,1,7,A,2014
Barcelona,Ajax,3,1,H,2014
Porto,Athletic Club,2,1,H,2014
Chelsea,NK Maribor,6,0,H,2014
APOEL FC,Paris S-G,0,1,A,2014
Roma,Bayern Munich,1,7,A,2014
CSKA Moscow,Manchester City,2,2,D,2014
CSKA Moscow,Manchester City,2,2,D,2014
BATE Borisov,Shakhtar,0,7,A,2014
Liverpool,Real Madrid,0,3,A,2014
Olympiacos,Juventus,1,0,H,2014
Anderlecht,Arsenal,1,2,A,2014
Leverkusen,Zenit,2,0,H,2014
AtlÃ©tico Madrid,MalmÃ¶,5,0,H,2014
Monaco,Benfica,0,0,D,2014
Ludogorets,Basel,1,0,H,2014
Olympiacos,Juventus,1,0,H,2014
Anderlecht,Arsenal,1,2,A,2014
Leverkusen,Zenit,2,0,H,2014
AtlÃ©tico Madrid,MalmÃ¶,5,0,H,2014
Ludogorets,Basel,1,0,H,2014
Liverpool,Real Madrid,0,3,A,2014
Galatasaray,Dortmund,0,4,A,2014
Galatasaray,Dortmund,0,4,A,2014
Monaco,Benfica,0,0,D,2014
Benfica,Monaco,1,0,H,2014
Basel,Ludogorets,4,0,H,2014
Dortmund,Galatasaray,4,1,H,2014
Zenit,Leverkusen,1,2,A,2014
Benfica,Monaco,1,0,H,2014
Juventus,Olympiacos,3,2,H,2014
Real Madrid,Liverpool,1,0,H,2014
Zenit,Leverkusen,1,2,A,2014
MalmÃ¶,AtlÃ©tico Madrid,0,2,A,2014
Basel,Ludogorets,4,0,H,2014
Real Madrid,Liverpool,1,0,H,2014
MalmÃ¶,AtlÃ©tico Madrid,0,2,A,2014
Juventus,Olympiacos,3,2,H,2014
Dortmund,Galatasaray,4,1,H,2014
Paris S-G,APOEL FC,1,0,H,2014
Athletic Club,Porto,0,2,A,2014
Manchester City,CSKA Moscow,1,2,A,2014
Sporting CP,Schalke 04,4,2,H,2014
Bayern Munich,Roma,2,0,H,2014
NK Maribor,Chelsea,1,1,D,2014
Ajax,Barcelona,0,2,A,2014
Paris S-G,APOEL FC,1,0,H,2014
Bayern Munich,Roma,2,0,H,2014
Shakhtar,BATE Borisov,5,0,H,2014
Ajax,Barcelona,0,2,A,2014
NK Maribor,Chelsea,1,1,D,2014
Sporting CP,Schalke 04,4,2,H,2014
Manchester City,CSKA Moscow,1,2,A,2014
Athletic Club,Porto,0,2,A,2014
Shakhtar,BATE Borisov,5,0,H,2014
Shakhtar,Athletic Club,0,1,A,2014
APOEL FC,Barcelona,0,4,A,2014
Manchester City,Bayern Munich,3,2,H,2014
BATE Borisov,Porto,0,3,A,2014
Manchester City,Bayern Munich,3,2,H,2014
Sporting CP,NK Maribor,3,1,H,2014
BATE Borisov,Porto,0,3,A,2014
CSKA Moscow,Roma,1,1,D,2014
Schalke 04,Chelsea,0,5,A,2014
Paris S-G,Ajax,3,1,H,2014
Sporting CP,NK Maribor,3,1,H,2014
Shakhtar,Athletic Club,0,1,A,2014
APOEL FC,Barcelona,0,4,A,2014
Paris S-G,Ajax,3,1,H,2014
Schalke 04,Chelsea,0,5,A,2014
CSKA Moscow,Roma,1,1,D,2014
MalmÃ¶,Juventus,0,2,A,2014
Ludogorets,Liverpool,2,2,D,2014
Anderlecht,Galatasaray,2,0,H,2014
Basel,Real Madrid,0,1,A,2014
AtlÃ©tico Madrid,Olympiacos,4,0,H,2014
Leverkusen,Monaco,0,1,A,2014
MalmÃ¶,Juventus,0,2,A,2014
Zenit,Benfica,1,0,H,2014
Zenit,Benfica,1,0,H,2014
Ludogorets,Liverpool,2,2,D,2014
Basel,Real Madrid,0,1,A,2014
AtlÃ©tico Madrid,Olympiacos,4,0,H,2014
Leverkusen,Monaco,0,1,A,2014
Anderlecht,Galatasaray,2,0,H,2014
Liverpool,Basel,1,1,D,2014
Juventus,AtlÃ©tico Madrid,0,0,D,2014
Dortmund,Anderlecht,1,1,D,2014
Real Madrid,Ludogorets,4,0,H,2014
Monaco,Zenit,2,0,H,2014
Olympiacos,MalmÃ¶,4,2,H,2014
Galatasaray,Arsenal,1,4,A,2014
Benfica,Leverkusen,0,0,D,2014
Liverpool,Basel,1,1,D,2014
Benfica,Leverkusen,0,0,D,2014
Juventus,AtlÃ©tico Madrid,0,0,D,2014
Dortmund,Anderlecht,1,1,D,2014
Real Madrid,Ludogorets,4,0,H,2014
Monaco,Zenit,2,0,H,2014
Olympiacos,MalmÃ¶,4,2,H,2014
Galatasaray,Arsenal,1,4,A,2014
Chelsea,Sporting CP,3,1,H,2014
Ajax,APOEL FC,4,0,H,2014
Athletic Club,BATE Borisov,2,0,H,2014
Roma,Manchester City,0,2,A,2014
NK Maribor,Schalke 04,0,1,A,2014
Barcelona,Paris S-G,3,1,H,2014
Bayern Munich,CSKA Moscow,3,0,H,2014
Porto,Shakhtar,1,1,D,2014
Ajax,APOEL FC,4,0,H,2014
Roma,Manchester City,0,2,A,2014
Athletic Club,BATE Borisov,2,0,H,2014
Bayern Munich,CSKA Moscow,3,0,H,2014
Porto,Shakhtar,1,1,D,2014
Chelsea,Sporting CP,3,1,H,2014
NK Maribor,Schalke 04,0,1,A,2014
Barcelona,Paris S-G,3,1,H,2014
Paris S-G,Chelsea,1,1,D,2014
Paris S-G,Chelsea,1,1,D,2014
Basel,Porto,1,1,D,2014
Basel,Porto,1,1,D,2014
Schalke 04,Real Madrid,0,2,A,2014
Schalke 04,Real Madrid,0,2,A,2014
Manchester City,Barcelona,1,2,A,2014
Juventus,Dortmund,2,1,H,2014
Manchester City,Barcelona,1,2,A,2014
Juventus,Dortmund,2,1,H,2014
Leverkusen,AtlÃ©tico Madrid,1,0,H,2014
Arsenal,Monaco,1,3,A,2014
Arsenal,Monaco,1,3,A,2014
Leverkusen,AtlÃ©tico Madrid,1,0,H,2014
Real Madrid,Schalke 04,3,4,A,2014
Porto,Basel,4,0,H,2014
Real Madrid,Schalke 04,3,4,A,2014
Porto,Basel,4,0,H,2014
Bayern Munich,Shakhtar,7,0,H,2014
Chelsea,Paris S-G,2,2,D,2014
Bayern Munich,Shakhtar,7,0,H,2014
Chelsea,Paris S-G,2,2,D,2014
Monaco,Arsenal,0,2,A,2014
AtlÃ©tico Madrid,Leverkusen,3,2,H,2014
Monaco,Arsenal,0,2,A,2014
AtlÃ©tico Madrid,Leverkusen,3,2,H,2014
Barcelona,Manchester City,1,0,H,2014
Dortmund,Juventus,0,3,A,2014
Barcelona,Manchester City,1,0,H,2014
Dortmund,Juventus,0,3,A,2014
AtlÃ©tico Madrid,Real Madrid,0,0,D,2014
AtlÃ©tico Madrid,Real Madrid,0,0,D,2014
Juventus,Monaco,1,0,H,2014
Juventus,Monaco,1,0,H,2014
Paris S-G,Barcelona,1,3,A,2014
Porto,Bayern Munich,3,1,H,2014
Porto,Bayern Munich,3,1,H,2014
Paris S-G,Barcelona,1,3,A,2014
Bayern Munich,Porto,6,1,H,2014
Barcelona,Paris S-G,2,0,H,2014
Bayern Munich,Porto,6,1,H,2014
Barcelona,Paris S-G,2,0,H,2014
Real Madrid,AtlÃ©tico Madrid,1,0,H,2014
Monaco,Juventus,0,0,D,2014
Monaco,Juventus,0,0,D,2014
Real Madrid,AtlÃ©tico Madrid,1,0,H,2014
Juventus,Real Madrid,2,1,H,2014
Juventus,Real Madrid,2,1,H,2014
Barcelona,Bayern Munich,3,0,H,2014
Barcelona,Bayern Munich,3,0,H,2014
Bayern Munich,Barcelona,3,2,H,2014
Bayern Munich,Barcelona,3,2,H,2014
Real Madrid,Juventus,1,1,D,2014
Real Madrid,Juventus,1,1,D,2014
Juventus,Barcelona,1,3,A,2014
Juventus,Barcelona,1,3,A,2014
Wolfsburg,CSKA Moscow,1,0,H,2015
Benfica,FC Astana,2,0,H,2015
Galatasaray,AtlÃ©tico Madrid,0,2,A,2015
Real Madrid,Shakhtar,4,0,H,2015
Paris S-G,MalmÃ¶,2,0,H,2015
Galatasaray,AtlÃ©tico Madrid,0,2,A,2015
Real Madrid,Shakhtar,4,0,H,2015
Paris S-G,MalmÃ¶,2,0,H,2015
Manchester City,Juventus,1,2,A,2015
PSV Eindhoven,Manchester Utd,2,1,H,2015
Sevilla,M'Gladbach,3,0,H,2015
Benfica,FC Astana,2,0,H,2015
Manchester City,Juventus,1,2,A,2015
PSV Eindhoven,Manchester Utd,2,1,H,2015
Sevilla,M'Gladbach,3,0,H,2015
Wolfsburg,CSKA Moscow,1,0,H,2015
Gent,Lyon,1,1,D,2015
Chelsea,Maccabi Tel Aviv,4,0,H,2015
Dinamo Zagreb,Arsenal,2,1,H,2015
Valencia,Zenit,2,3,A,2015
Dynamo Kyiv,Porto,2,2,D,2015
Leverkusen,BATE Borisov,4,1,H,2015
Roma,Barcelona,1,1,D,2015
Olympiacos,Bayern Munich,0,3,A,2015
Dynamo Kyiv,Porto,2,2,D,2015
Olympiacos,Bayern Munich,0,3,A,2015
Dinamo Zagreb,Arsenal,2,1,H,2015
Roma,Barcelona,1,1,D,2015
Chelsea,Maccabi Tel Aviv,4,0,H,2015
Gent,Lyon,1,1,D,2015
Leverkusen,BATE Borisov,4,1,H,2015
Valencia,Zenit,2,3,A,2015
BATE Borisov,Roma,3,2,H,2015
Zenit,Gent,2,1,H,2015
Maccabi Tel Aviv,Dynamo Kyiv,0,2,A,2015
Lyon,Valencia,0,1,A,2015
Barcelona,Leverkusen,2,1,H,2015
Arsenal,Olympiacos,2,3,A,2015
Porto,Chelsea,2,1,H,2015
Bayern Munich,Dinamo Zagreb,5,0,H,2015
Barcelona,Leverkusen,2,1,H,2015
Bayern Munich,Dinamo Zagreb,5,0,H,2015
Lyon,Valencia,0,1,A,2015
Maccabi Tel Aviv,Dynamo Kyiv,0,2,A,2015
Zenit,Gent,2,1,H,2015
Porto,Chelsea,2,1,H,2015
Arsenal,Olympiacos,2,3,A,2015
BATE Borisov,Roma,3,2,H,2015
MalmÃ¶,Real Madrid,0,2,A,2015
M'Gladbach,Manchester City,1,2,A,2015
AtlÃ©tico Madrid,Benfica,1,2,A,2015
MalmÃ¶,Real Madrid,0,2,A,2015
Juventus,Sevilla,2,0,H,2015
CSKA Moscow,PSV Eindhoven,3,2,H,2015
Manchester Utd,Wolfsburg,2,1,H,2015
Juventus,Sevilla,2,0,H,2015
AtlÃ©tico Madrid,Benfica,1,2,A,2015
Shakhtar,Paris S-G,0,3,A,2015
FC Astana,Galatasaray,2,2,D,2015
FC Astana,Galatasaray,2,2,D,2015
Shakhtar,Paris S-G,0,3,A,2015
CSKA Moscow,PSV Eindhoven,3,2,H,2015
Manchester Utd,Wolfsburg,2,1,H,2015
M'Gladbach,Manchester City,1,2,A,2015
Arsenal,Bayern Munich,2,0,H,2015
Porto,Maccabi Tel Aviv,2,0,H,2015
Leverkusen,Roma,4,4,D,2015
Dinamo Zagreb,Olympiacos,0,1,A,2015
Valencia,Gent,2,1,H,2015
BATE Borisov,Barcelona,0,2,A,2015
Zenit,Lyon,3,1,H,2015
Dynamo Kyiv,Chelsea,0,0,D,2015
Zenit,Lyon,3,1,H,2015
Dynamo Kyiv,Chelsea,0,0,D,2015
BATE Borisov,Barcelona,0,2,A,2015
Valencia,Gent,2,1,H,2015
Dinamo Zagreb,Olympiacos,0,1,A,2015
Leverkusen,Roma,4,4,D,2015
Porto,Maccabi Tel Aviv,2,0,H,2015
Arsenal,Bayern Munich,2,0,H,2015
Galatasaray,Benfica,2,1,H,2015
Wolfsburg,PSV Eindhoven,2,0,H,2015
MalmÃ¶,Shakhtar,1,0,H,2015
Juventus,M'Gladbach,0,0,D,2015
Paris S-G,Real Madrid,0,0,D,2015
CSKA Moscow,Manchester Utd,1,1,D,2015
AtlÃ©tico Madrid,FC Astana,4,0,H,2015
Manchester City,Sevilla,2,1,H,2015
Manchester City,Sevilla,2,1,H,2015
AtlÃ©tico Madrid,FC Astana,4,0,H,2015
Paris S-G,Real Madrid,0,0,D,2015
Juventus,M'Gladbach,0,0,D,2015
MalmÃ¶,Shakhtar,1,0,H,2015
Wolfsburg,PSV Eindhoven,2,0,H,2015
Galatasaray,Benfica,2,1,H,2015
CSKA Moscow,Manchester Utd,1,1,D,2015
M'Gladbach,Juventus,1,1,D,2015
Manchester Utd,CSKA Moscow,1,0,H,2015
Shakhtar,MalmÃ¶,4,0,H,2015
Real Madrid,Paris S-G,1,0,H,2015
Sevilla,Manchester City,1,3,A,2015
Manchester Utd,CSKA Moscow,1,0,H,2015
Shakhtar,MalmÃ¶,4,0,H,2015
PSV Eindhoven,Wolfsburg,2,0,H,2015
FC Astana,AtlÃ©tico Madrid,0,0,D,2015
Sevilla,Manchester City,1,3,A,2015
FC Astana,AtlÃ©tico Madrid,0,0,D,2015
PSV Eindhoven,Wolfsburg,2,0,H,2015
M'Gladbach,Juventus,1,1,D,2015
Real Madrid,Paris S-G,1,0,H,2015
Roma,Leverkusen,3,2,H,2015
Barcelona,BATE Borisov,3,0,H,2015
Chelsea,Dynamo Kyiv,2,1,H,2015
Gent,Valencia,1,0,H,2015
Bayern Munich,Arsenal,5,1,H,2015
Lyon,Zenit,0,2,A,2015
Olympiacos,Dinamo Zagreb,2,1,H,2015
Barcelona,BATE Borisov,3,0,H,2015
Roma,Leverkusen,3,2,H,2015
Lyon,Zenit,0,2,A,2015
Gent,Valencia,1,0,H,2015
Bayern Munich,Arsenal,5,1,H,2015
Maccabi Tel Aviv,Porto,1,3,A,2015
Olympiacos,Dinamo Zagreb,2,1,H,2015
Maccabi Tel Aviv,Porto,1,3,A,2015
Chelsea,Dynamo Kyiv,2,1,H,2015
Maccabi Tel Aviv,Chelsea,0,4,A,2015
Arsenal,Dinamo Zagreb,3,0,H,2015
Porto,Dynamo Kyiv,0,2,A,2015
BATE Borisov,Leverkusen,1,1,D,2015
Zenit,Valencia,2,0,H,2015
Barcelona,Roma,6,1,H,2015
Lyon,Gent,1,2,A,2015
Bayern Munich,Olympiacos,4,0,H,2015
Maccabi Tel Aviv,Chelsea,0,4,A,2015
Bayern Munich,Olympiacos,4,0,H,2015
